id,Resistance,Comfort,LWL,BWL
1,5404.87,0.41,8.0,2.5
2,5834.79,0.4,8.3,2.5
3,6111.24,0.39,8.6,2.5
4,6261.37,0.38,8.9,2.5
5,6317.75,0.37,9.2,2.5
6,6305.26,0.37,9.5,2.5
7,6242.69,0.36,9.8,2.5
8,6144.25,0.35,10.1,2.5
9,5529.83,0.34,10.4,2.5
10,4785.17,0.34,10.7,2.5
11,5422.32,0.38,8.0,2.65
12,5856.76,0.37,8.3,2.65
13,6133.25,0.36,8.6,2.65
14,6282.83,0.35,8.9,2.65
15,6338.6,0.35,9.2,2.65
16,6325.47,0.34,9.5,2.65
17,6262.22,0.33,9.8,2.65
18,6163.09,0.32,10.1,2.65
19,5547.21,0.32,10.4,2.65
20,4800.9,0.31,10.7,2.65
21,5440.07,0.35,8.0,2.8
22,5878.94,0.34,8.3,2.8
23,6154.98,0.34,8.6,2.8
24,6304.03,0.33,8.9,2.8
25,6359.22,0.32,9.2,2.8
26,6345.47,0.31,9.5,2.8
27,6281.57,0.31,9.8,2.8
28,6181.76,0.3,10.1,2.8
29,5564.44,0.3,10.4,2.8
30,4816.48,0.29,10.7,2.8
31,5458.03,0.33,8.0,2.95
32,5900.88,0.32,8.3,2.95
33,6176.48,0.31,8.6,2.95
34,6325.02,0.31,8.9,2.95
35,6379.65,0.3,9.2,2.95
36,6365.29,0.29,9.5,2.95
37,6300.75,0.29,9.8,2.95
38,6200.29,0.28,10.1,2.95
39,5581.54,0.28,10.4,2.95
40,4831.94,0.27,10.7,2.95
41,5476.18,0.31,8.0,3.1
42,5922.61,0.3,8.3,3.1
43,6197.79,0.29,8.6,3.1
44,6345.84,0.29,8.9,3.1
45,6399.91,0.28,9.2,3.1
46,6384.96,0.27,9.5,3.1
47,6319.81,0.27,9.8,3.1
48,6218.71,0.26,10.1,3.1
49,5598.54,0.26,10.4,3.1
50,4847.31,0.25,10.7,3.1
51,5497.88,0.29,8.0,3.25
52,5944.18,0.28,8.3,3.25
53,6218.95,0.28,8.6,3.25
54,6366.51,0.27,8.9,3.25
55,6420.05,0.26,9.2,3.25
56,6404.52,0.26,9.5,3.25
57,6338.76,0.25,9.8,3.25
58,6237.04,0.25,10.1,3.25
59,5615.45,0.24,10.4,3.25
60,4862.59,0.24,10.7,3.25
61,5519.63,0.27,8.0,3.4
62,5965.61,0.27,8.3,3.4
63,6239.98,0.26,8.6,3.4
64,6387.06,0.25,8.9,3.4
65,6440.07,0.25,9.2,3.4
66,6423.97,0.24,9.5,3.4
67,6357.62,0.24,9.8,3.4
68,6255.29,0.23,10.1,3.4
69,5632.29,0.23,10.4,3.4
70,4877.8,0.22,10.7,3.4
71,5541.25,0.26,8.0,3.55
72,5986.94,0.25,8.3,3.55
73,6260.9,0.24,8.6,3.55
74,6407.52,0.24,8.9,3.55
75,6460.0,0.23,9.2,3.55
76,6443.34,0.23,9.5,3.55
77,6376.41,0.22,9.8,3.55
78,6273.47,0.22,10.1,3.55
79,5649.06,0.22,10.4,3.55
80,4892.95,0.21,10.7,3.55
81,5562.79,0.24,8.0,3.7
82,6008.17,0.24,8.3,3.7
83,6281.74,0.23,8.6,3.7
84,6427.89,0.23,8.9,3.7
85,6479.86,0.22,9.2,3.7
86,6462.65,0.22,9.5,3.7
87,6395.13,0.21,9.8,3.7
88,6291.6,0.21,10.1,3.7
89,5665.79,0.2,10.4,3.7
90,4908.06,0.2,10.7,3.7
91,5584.25,0.23,8.0,3.85
92,6029.34,0.22,8.3,3.85
93,6302.51,0.22,8.6,3.85
94,6448.2,0.21,8.9,3.85
95,6499.65,0.21,9.2,3.85
96,6481.89,0.21,9.5,3.85
97,6413.8,0.2,9.8,3.85
98,6309.68,0.2,10.1,3.85
99,5682.47,0.19,10.4,3.85
100,4923.12,0.19,10.7,3.85
101,nan,0.28,10.0,3.0
102,4153.23,0.33,11.0,2.52
103,4164.05,0.33,10.99,2.51
104,4276.08,0.33,10.94,2.52
105,4351.4,0.33,10.9,2.52
106,4353.9,0.33,10.9,2.52
107,4363.37,0.33,10.89,2.52
108,4372.5,0.33,10.89,2.52
109,4372.5,0.33,10.89,2.52
110,4553.87,0.33,10.8,2.52
111,4565.7,0.33,10.8,2.52
112,4572.31,0.33,10.8,2.52
113,4592.19,0.33,10.79,2.52
114,4699.77,0.33,10.74,2.52
115,5410.32,0.4,8.0,2.52
116,5410.32,0.4,8.0,2.52
117,6281.66,0.32,8.83,2.83
118,6281.66,0.32,8.83,2.83
119,6192.91,0.22,10.21,3.52
120,6192.91,0.22,10.21,3.52
121,4852.97,0.32,10.68,2.63
122,4852.97,0.32,10.68,2.63
123,6326.37,0.36,9.27,2.54
124,6326.37,0.36,9.27,2.54
125,6256.09,0.27,8.66,3.26
126,6256.09,0.27,8.66,3.26
127,5573.64,0.35,8.08,2.8
128,5573.64,0.35,8.08,2.8
129,6300.12,0.24,9.95,3.32
130,6300.12,0.24,9.95,3.32
131,6276.92,0.26,8.66,3.38
132,6276.92,0.26,8.66,3.38
133,5455.47,0.34,10.43,2.51
134,5455.47,0.34,10.43,2.51
135,5601.33,0.22,10.42,3.55
136,5601.33,0.22,10.42,3.55
137,6326.66,0.34,9.02,2.73
138,6326.66,0.34,9.02,2.73
139,4459.43,0.26,10.87,3.0
140,4459.43,0.26,10.87,3.0
141,5829.93,0.37,8.28,2.65
142,5829.93,0.37,8.28,2.65
143,5259.39,0.23,10.54,3.41
144,5259.39,0.23,10.54,3.41
145,6344.37,0.32,9.02,2.86
146,6344.37,0.32,9.02,2.86
147,6326.37,0.36,9.27,2.54
148,6326.37,0.36,9.27,2.54
149,5829.93,0.37,8.28,2.65
150,5829.93,0.37,8.28,2.65
151,6308.89,0.35,9.01,2.63
152,6308.89,0.35,9.01,2.63
153,4827.97,0.3,10.69,2.73
154,4827.97,0.3,10.69,2.73
155,5742.02,0.37,8.21,2.65
156,5742.02,0.37,8.21,2.65
157,6423.15,0.25,9.04,3.41
158,6423.15,0.25,9.04,3.41
159,5243.13,0.3,10.52,2.73
160,5243.13,0.3,10.52,2.73
161,5455.49,0.34,10.43,2.51
162,5455.49,0.34,10.43,2.51
163,6212.31,0.35,9.92,2.54
164,6212.31,0.35,9.92,2.54
165,6212.34,0.35,9.92,2.54
166,6212.34,0.35,9.92,2.54
167,4459.43,0.26,10.87,3.0
168,4459.43,0.26,10.87,3.0
169,4514.63,0.26,10.84,2.99
170,4514.63,0.26,10.84,2.99
171,6272.21,0.27,8.68,3.27
172,6272.21,0.27,8.68,3.27
173,5257.28,0.31,10.51,2.66
174,5257.28,0.31,10.51,2.66
175,5838.99,0.25,8.19,3.53
176,5838.99,0.25,8.19,3.53
177,6321.64,0.37,9.27,2.51
178,6321.64,0.37,9.27,2.51
179,5459.42,0.34,10.43,2.54
180,5459.42,0.34,10.43,2.54
181,5675.9,0.35,8.15,2.8
182,5675.9,0.35,8.15,2.8
183,6232.08,0.35,9.85,2.54
184,6232.08,0.35,9.85,2.54
185,5442.67,0.35,8.0,2.8
186,5442.67,0.35,8.0,2.8
187,4713.9,0.33,10.73,2.51
188,4713.9,0.33,10.73,2.51
189,4863.59,0.3,10.68,2.73
190,4863.59,0.3,10.68,2.73
191,6321.07,0.37,9.25,2.51
192,6321.07,0.37,9.25,2.51
193,5697.28,0.35,8.16,2.8
194,5697.28,0.35,8.16,2.8
195,5973.69,0.34,8.39,2.8
196,5973.69,0.34,8.39,2.8
197,6321.52,0.37,9.27,2.51
198,6321.52,0.37,9.27,2.51
199,5455.57,0.34,10.43,2.51
200,5455.57,0.34,10.43,2.51
201,6337.39,0.35,9.25,2.63
202,6337.39,0.35,9.25,2.63
203,4840.52,0.34,10.68,2.51
204,4840.52,0.34,10.68,2.51
205,6335.0,0.35,9.27,2.61
206,6335.0,0.35,9.27,2.61
207,4459.43,0.26,10.87,3.0
208,4459.43,0.26,10.87,3.0
209,6321.02,0.37,9.25,2.51
210,6321.02,0.37,9.25,2.51
211,4481.23,0.31,10.84,2.65
212,4481.23,0.31,10.84,2.65
213,5879.81,0.32,8.28,2.98
214,5879.81,0.32,8.28,2.98
215,5455.42,0.38,8.02,2.65
216,5455.42,0.38,8.02,2.65
217,4783.33,0.34,10.7,2.51
218,4783.33,0.34,10.7,2.51
219,5442.29,0.35,8.0,2.8
220,5442.29,0.35,8.0,2.8
221,4853.3,0.32,10.68,2.63
222,4853.3,0.32,10.68,2.63
223,5742.02,0.37,8.21,2.65
224,5742.02,0.37,8.21,2.65
225,4459.43,0.26,10.87,3.0
226,4459.43,0.26,10.87,3.0
227,4480.57,0.31,10.84,2.65
228,4480.57,0.31,10.84,2.65
