id,Resistance,Rv,Ri,Rr,Rincli,Comfort,CS,LWL,BWL,Draft,Displacement,AWP,LCB,LCF,constraint1,constraint2,constraint3,constraint4,constraint5,valid
1,1973.6976,449.4626,1520.2255,4.0096,0.0000,11.7767,1.7314,10.0000,3.1700,0.5700,8.1700,0.7500,5.0000,4.0000,False,False,False,False,False,False
2,1491.6233,411.4337,1077.6235,2.5661,0.0000,11.7170,1.7848,9.8617,3.0843,0.5103,6.8700,0.6842,4.5764,4.2716,False,False,False,False,False,True
3,1149.3277,403.4486,742.7221,3.1570,0.0000,14.0792,1.7722,10.4550,3.0626,0.5964,6.8700,0.6964,4.6928,4.7726,False,False,False,False,False,True
4,1260.1372,439.8581,817.4265,2.8526,0.0000,12.3125,1.8164,10.2686,3.1389,0.4964,6.8700,0.7077,4.5176,4.6653,False,False,False,False,False,True
5,1347.3054,424.6519,919.1947,3.4588,0.0000,16.5348,1.9621,10.2018,3.3907,0.5828,6.8700,0.6848,4.8412,4.6289,False,False,False,False,False,False
6,1016.7730,429.5434,585.1908,2.0388,0.0000,16.0403,1.8971,10.9811,3.2783,0.5624,6.8700,0.7090,4.2989,4.6859,False,False,False,False,False,False
7,1148.1278,460.7448,685.2700,2.1130,0.0000,16.9383,2.1100,10.3656,3.6463,0.4998,6.8700,0.6869,4.1858,4.6493,False,True,False,False,True,False
8,1256.0959,426.0534,826.9273,3.1152,0.0000,13.1707,1.8225,10.4398,3.1494,0.5221,6.8700,0.6943,4.8590,4.6484,False,False,False,False,False,True
9,1375.2141,422.6498,949.4266,3.1378,0.0000,16.8774,1.9858,10.1310,3.4317,0.5845,6.8700,0.6948,4.6619,4.3079,False,False,False,False,False,False
10,1382.4147,389.9705,989.8449,2.5992,0.0000,11.6325,1.6856,9.7037,2.9129,0.5850,6.8700,0.7068,4.4805,4.5766,False,False,False,False,False,True
11,1057.1090,429.4277,625.3885,2.2928,0.0000,12.1080,1.7248,10.7247,2.9805,0.5234,6.8700,0.6974,4.2635,4.6756,False,False,False,False,False,True
12,1190.3631,417.5684,770.0728,2.7219,0.0000,14.1713,1.7725,10.8469,3.0630,0.5781,6.8700,0.6838,4.7680,4.4338,False,False,False,False,False,True
13,1193.7587,418.5401,772.2191,2.9995,0.0000,17.9859,1.9617,10.2375,3.3899,0.6362,6.8700,0.6955,4.3520,4.5145,False,False,False,False,False,False
14,1633.1242,425.3491,1205.5712,2.2039,0.0000,12.7926,1.8703,9.7420,3.2320,0.5127,6.8700,0.6864,4.4644,4.1807,False,False,False,False,False,True
15,1806.3205,439.3323,1366.0462,0.9419,0.0000,14.6167,2.0861,9.1119,3.6050,0.4974,6.8700,0.7072,4.8899,4.6110,True,True,False,False,True,False
16,1398.3617,393.3334,1001.9853,3.0431,0.0000,15.2199,1.8434,9.8629,3.1855,0.6323,6.8700,0.6809,4.7319,4.5801,False,False,False,False,False,False
17,1897.5176,419.4119,1476.9792,1.1265,0.0000,12.9182,1.9411,9.0479,3.3543,0.5146,6.8700,0.7097,4.9889,4.4861,True,True,False,False,False,False
18,1868.7704,409.6660,1457.7670,1.3374,0.0000,10.6819,1.8057,9.1662,3.1205,0.4834,6.8700,0.7026,4.8328,4.3106,False,False,False,False,False,True
19,1904.2569,440.3098,1462.8804,1.0667,0.0000,15.1322,2.0848,9.2099,3.6028,0.5125,6.8700,0.7051,4.4007,4.0760,True,True,False,False,True,False
20,1146.2674,429.4292,714.3276,2.5106,0.0000,16.1596,1.9413,10.7665,3.3548,0.5501,6.8700,0.6808,4.6542,4.7179,False,False,False,False,False,False
21,1589.1604,427.7514,1158.7187,2.6904,0.0000,10.3353,1.7215,9.8063,2.9750,0.4843,6.8700,0.6914,4.8683,4.4309,False,False,False,False,False,True
22,1153.5110,430.2992,720.5780,2.6338,0.0000,17.8634,1.9633,10.5871,3.3927,0.6090,6.8700,0.6979,4.4431,4.6077,False,False,False,False,False,False
23,1370.0672,390.4127,976.3705,3.2840,0.0000,15.0774,1.7953,9.9741,3.1025,0.6548,6.8700,0.6987,4.7100,4.4545,False,False,False,False,False,False
24,1376.2352,426.6275,946.6501,2.9576,0.0000,12.2646,1.8064,9.9677,3.1217,0.5167,6.8700,0.6853,4.8036,4.7057,False,False,False,False,False,True
25,1144.7448,451.5024,691.2160,2.0264,0.0000,17.0332,1.9945,10.8133,3.4467,0.5463,6.8700,0.7088,4.2364,4.3264,False,False,False,False,False,False
26,1266.8248,389.9548,873.7152,3.1549,0.0000,11.3813,1.6642,10.0957,2.8758,0.5642,6.8700,0.6815,4.5247,4.5883,False,False,False,False,False,True
27,1244.0646,393.4174,847.1116,3.5356,0.0000,12.9701,1.6571,10.2156,2.8636,0.6465,6.8700,0.7042,4.5913,4.4539,False,False,False,False,False,True
28,1315.7149,424.1384,888.9007,2.6759,0.0000,17.8176,1.9807,10.6858,3.4229,0.5900,6.8700,0.7071,4.6570,4.0850,False,False,False,False,False,False
29,1404.9604,436.3883,965.6657,2.9065,0.0000,15.4417,2.0167,10.2666,3.4850,0.5044,6.8700,0.7011,4.7172,4.2678,False,True,False,False,True,False
30,1552.1430,404.0697,1145.6277,2.4455,0.0000,9.2252,1.5617,9.7526,2.6988,0.5361,6.8700,0.6852,4.2399,4.1399,False,False,False,False,False,True
31,1268.0479,429.5590,835.9374,2.5515,0.0000,11.0785,1.6982,10.5149,2.9346,0.5018,6.8700,0.6874,4.3549,4.1602,False,False,False,False,False,True
32,1317.9104,395.3855,919.9091,2.6157,0.0000,16.9542,1.9727,9.7667,3.4090,0.6191,6.8700,0.6946,4.5754,4.6672,False,False,False,False,False,False
33,1255.0587,421.4481,830.8517,2.7588,0.0000,12.9978,1.8246,10.4343,3.1531,0.5134,6.8700,0.6837,4.5504,4.4260,False,False,False,False,False,True
34,1136.3546,393.6000,739.9534,2.8012,0.0000,12.8349,1.6823,9.9537,2.9072,0.6358,6.8700,0.6929,4.1893,4.7205,False,False,False,False,False,True
35,1446.0960,378.8206,1064.2132,3.0623,0.0000,11.1557,1.6036,9.7465,2.7712,0.6206,6.8700,0.6903,4.7820,4.5234,False,False,False,False,False,True
36,1533.5291,418.6327,1111.3645,3.5319,0.0000,10.5000,1.7017,10.1951,2.9407,0.4860,6.8700,0.6854,4.9661,4.0838,False,False,False,False,False,True
37,1435.1163,415.5563,1016.3355,3.2244,0.0000,15.5477,1.9244,10.2478,3.3255,0.5660,6.8700,0.6916,4.7056,4.0647,False,False,False,False,False,True
38,1697.8739,406.6739,1289.0183,2.1816,0.0000,9.8326,1.6743,9.6131,2.8934,0.4988,6.8700,0.6920,4.4868,4.1197,False,False,False,False,False,True
39,1553.2607,380.7099,1170.3790,2.1719,0.0000,9.6506,1.6255,9.3335,2.8090,0.5390,6.8700,0.6998,4.9328,4.7894,False,False,False,False,False,True
40,1746.1190,425.7496,1319.2115,1.1579,0.0000,14.6644,2.0302,9.1719,3.5084,0.5282,6.8700,0.7011,4.3869,4.4279,True,True,False,False,True,False
41,1490.2291,434.6310,1052.7485,2.8496,0.0000,13.3896,1.9246,10.1198,3.3260,0.4851,6.8700,0.7016,4.6995,4.1798,False,True,False,False,False,False
42,1053.8044,409.4353,641.9740,2.3952,0.0000,12.1672,1.7041,10.7111,2.9449,0.5412,6.8700,0.7090,4.2930,4.5488,False,False,False,False,False,True
43,1208.3355,427.9070,777.7721,2.6564,0.0000,16.5719,1.9793,10.2234,3.4203,0.5717,6.8700,0.7075,4.1972,4.4147,False,False,False,False,False,False
44,1325.2910,431.6334,891.0528,2.6049,0.0000,12.5642,1.7494,10.5979,3.0231,0.5347,6.8700,0.7027,4.4454,4.0646,False,False,False,False,False,True
45,1302.0706,413.4205,885.9906,2.6595,0.0000,15.3304,1.9317,10.0617,3.3382,0.5633,6.8700,0.6917,4.3222,4.2876,False,False,False,False,False,True
46,1095.6674,394.6589,698.0170,2.9915,0.0000,15.0619,1.8278,10.2937,3.1587,0.6094,6.8700,0.6815,4.3701,4.6548,False,False,False,False,False,False
47,1130.9539,392.3144,736.0917,2.5478,0.0000,12.6726,1.6523,10.6674,2.8554,0.6073,6.8700,0.7034,4.2191,4.1615,False,False,False,False,False,True
48,1477.7254,435.8546,1038.5176,3.3531,0.0000,18.7374,2.0878,10.1811,3.6078,0.5839,6.8700,0.6821,4.8585,4.1714,False,False,False,False,True,False
49,1598.9261,413.2920,1184.0857,1.5484,0.0000,12.0275,1.8144,9.2597,3.1354,0.5410,6.8700,0.6894,4.2307,4.6383,False,False,False,False,False,True
50,1635.2432,415.9887,1216.4786,2.7758,0.0000,14.4086,1.8752,9.6937,3.2405,0.5843,6.8700,0.7085,4.9552,4.3200,False,False,False,False,False,True
51,1078.3605,458.7039,617.7267,1.9299,0.0000,12.9877,1.8255,10.9927,3.1547,0.4848,6.8700,0.6942,4.3618,4.7463,False,True,False,False,False,False
52,1164.3819,419.3655,742.2579,2.7585,0.0000,17.2380,1.9676,10.1598,3.4001,0.6086,6.8700,0.6949,4.1985,4.5226,False,False,False,False,False,False
53,1396.8098,415.0006,979.6541,2.1552,0.0000,10.8833,1.7623,9.8526,3.0455,0.4838,6.8700,0.7049,4.2204,4.3127,False,False,False,False,False,True
54,997.7377,419.9288,575.6677,2.1413,0.0000,14.5744,1.8248,10.8836,3.1534,0.5571,6.8700,0.7044,4.2613,4.7746,False,False,False,False,False,True
55,1907.0454,390.2192,1515.3678,1.4584,0.0000,14.6328,1.9401,9.0673,3.3526,0.5908,6.8700,0.7091,4.6592,4.3279,True,False,False,False,False,False
56,1499.2028,388.6796,1107.8974,2.6258,0.0000,9.2026,1.5859,9.7603,2.7406,0.5159,6.8700,0.7070,4.5657,4.4301,False,False,False,False,False,True
57,1207.8473,435.2242,770.3383,2.2848,0.0000,14.5986,1.8581,10.8830,3.2110,0.5362,6.8700,0.7003,4.5112,4.2367,False,False,False,False,False,True
58,1279.0147,454.3831,822.3922,2.2394,0.0000,16.9928,2.0829,10.8067,3.5995,0.4943,6.8700,0.7021,4.7352,4.3461,False,True,False,False,True,False
59,1068.3794,444.6985,621.6405,2.0404,0.0000,15.9732,1.9188,10.8832,3.3159,0.5511,6.8700,0.6976,4.2435,4.5511,False,False,False,False,False,False
60,1734.5565,428.1697,1305.0667,1.3201,0.0000,16.2482,2.0947,9.2293,3.6199,0.5484,6.8700,0.6996,4.5054,4.3347,True,True,False,False,True,False
61,1704.0361,414.8094,1286.8381,2.3886,0.0000,15.4365,1.9346,9.6654,3.3432,0.5899,6.8700,0.6887,4.5569,4.0650,False,False,False,False,False,True
62,1643.5480,388.4614,1253.0339,2.0527,0.0000,8.6706,1.5762,9.3825,2.7237,0.5110,6.8700,0.6849,4.6194,4.4813,False,False,False,False,False,True
63,2009.3656,402.2241,1605.8087,1.3327,0.0000,14.0194,1.9341,9.0448,3.3424,0.5690,6.8700,0.6935,4.6589,4.0676,True,False,False,False,False,False
64,1139.0071,393.8601,742.0239,3.1231,0.0000,12.3087,1.6492,10.5300,2.8500,0.5992,6.8700,0.6946,4.6578,4.6404,False,False,False,False,False,True
65,1609.8713,388.6786,1218.2205,2.9722,0.0000,12.3772,1.6835,9.6499,2.9093,0.6304,6.8700,0.7037,4.9255,4.3548,False,False,False,False,False,True
66,1564.1421,389.8376,1172.5896,1.7149,0.0000,8.7411,1.5851,9.2835,2.7393,0.5145,6.8700,0.6953,4.2030,4.5628,False,False,False,False,False,True
67,1737.9549,422.4924,1313.9582,1.5043,0.0000,12.8149,1.9360,9.2951,3.3456,0.4986,6.8700,0.6837,4.8283,4.5674,False,True,False,False,False,False
68,1199.4512,404.2757,792.0111,3.1644,0.0000,12.2098,1.6378,10.3974,2.8302,0.6108,6.8700,0.7035,4.5129,4.5443,False,False,False,False,False,True
69,1060.9467,405.7893,652.4760,2.6813,0.0000,15.9293,1.8195,10.5328,3.1443,0.6381,6.8700,0.6843,4.2655,4.5768,False,False,False,False,False,False
70,1286.9789,422.0378,862.5594,2.3817,0.0000,15.3889,1.9417,9.8631,3.3555,0.5710,6.8700,0.6808,4.2871,4.6423,False,False,False,False,False,True
71,1529.9546,389.0779,1138.4079,2.4689,0.0000,11.5951,1.6590,9.6382,2.8670,0.6077,6.8700,0.7075,4.3064,4.1373,False,False,False,False,False,True
72,1086.7631,377.0439,706.5471,3.1721,0.0000,13.6585,1.6880,10.1898,2.9170,0.6581,6.8700,0.7076,4.2528,4.5405,False,False,False,False,False,True
73,1297.2045,405.0884,888.8859,3.2302,0.0000,20.1651,2.0820,10.1816,3.5979,0.6361,6.8700,0.7028,4.6163,4.2946,False,False,False,False,True,False
74,1658.1670,423.8993,1231.9357,2.3320,0.0000,12.1449,1.8423,9.7126,3.1836,0.5021,6.8700,0.6829,4.7071,4.2550,False,False,False,False,False,True
75,1286.4537,434.8014,848.7025,2.9498,0.0000,16.7652,2.0116,10.5410,3.4762,0.5411,6.8700,0.6822,4.9186,4.6369,False,False,False,False,True,False
76,1798.9592,407.6479,1390.0204,1.2909,0.0000,12.6596,1.9035,9.1287,3.2894,0.5213,6.8700,0.6893,4.6548,4.5998,False,False,False,False,False,True
77,1320.2764,393.4050,923.6041,3.2672,0.0000,13.0449,1.7549,9.9850,3.0326,0.5885,6.8700,0.7013,4.8056,4.6775,False,False,False,False,False,True
78,1007.6919,435.9698,569.8119,1.9103,0.0000,13.7501,1.8496,10.9780,3.1962,0.5024,6.8700,0.6928,4.2839,4.7645,False,False,False,False,False,True
79,1509.9240,391.6871,1116.0751,2.1618,0.0000,9.8528,1.6251,9.5620,2.8084,0.5379,6.8700,0.6972,4.2647,4.2088,False,False,False,False,False,True
80,1507.7191,392.9155,1113.2859,1.5177,0.0000,17.8221,2.0554,9.0813,3.5520,0.6441,6.8700,0.7084,4.4621,4.7711,True,False,False,False,True,False
81,1436.9459,399.7668,1035.6537,1.5254,0.0000,18.4114,2.0711,9.1215,3.5790,0.6534,6.8700,0.6892,4.2221,4.7463,True,False,False,False,True,False
82,1278.9395,452.1852,824.1967,2.5577,0.0000,18.1723,2.0689,10.5396,3.5752,0.5556,6.8700,0.6958,4.5442,4.3837,False,False,False,False,True,False
83,1538.2178,399.3976,1136.2662,2.5540,0.0000,16.0045,1.9407,9.5608,3.3538,0.6161,6.8700,0.7095,4.9283,4.6139,False,False,False,False,False,False
84,1344.7691,386.1883,955.0057,3.5751,0.0000,13.3024,1.6711,10.3977,2.8878,0.6407,6.8700,0.6857,4.8602,4.2258,False,False,False,False,False,True
85,1334.3658,412.9388,918.4932,2.9338,0.0000,12.5932,1.7264,10.8077,2.9833,0.5410,6.8700,0.6950,4.9895,4.1655,False,False,False,False,False,True
86,1324.1244,384.0253,936.9316,3.1675,0.0000,11.9162,1.6674,9.9903,2.8815,0.5965,6.8700,0.7091,4.6059,4.4862,False,False,False,False,False,True
87,1754.6721,380.5480,1372.0067,2.1174,0.0000,15.9484,1.9347,9.2733,3.3433,0.6378,6.8700,0.6976,4.9873,4.3320,False,False,False,False,False,False
88,1392.3781,420.2256,968.6872,3.4652,0.0000,9.7894,1.6500,10.1185,2.8513,0.4862,6.8700,0.6853,4.9828,4.7522,False,False,False,False,False,True
89,1253.7405,418.7863,832.3054,2.6488,0.0000,16.2325,1.8831,10.8574,3.2541,0.5860,6.8700,0.6927,4.7691,4.1826,False,False,False,False,False,False
90,1206.3596,374.4239,828.7924,3.1432,0.0000,12.4180,1.6166,10.1736,2.7936,0.6537,6.8700,0.6998,4.2051,4.1882,False,False,False,False,False,True
91,1827.8571,430.3168,1395.9200,1.6203,0.0000,14.7570,2.0240,9.4228,3.4977,0.5206,6.8700,0.6891,4.5703,4.0527,True,True,False,False,True,False
92,1324.9054,410.4610,910.8304,3.6140,0.0000,13.3131,1.7199,10.3448,2.9721,0.6059,6.8700,0.7022,4.9221,4.4586,False,False,False,False,False,True
93,1407.8792,403.1382,1002.2833,2.4577,0.0000,12.5638,1.7928,9.8649,3.0982,0.5456,6.8700,0.6948,4.3089,4.2331,False,False,False,False,False,True
94,1164.4270,418.0886,743.8534,2.4850,0.0000,11.1132,1.6743,10.8656,2.8933,0.5022,6.8700,0.6894,4.6452,4.5077,False,False,False,False,False,True
95,1202.3680,410.0896,789.3510,2.9274,0.0000,13.7679,1.7536,10.4649,3.0303,0.5951,6.8700,0.7088,4.4753,4.3962,False,False,False,False,False,True
96,1416.5106,426.5404,987.1072,2.8630,0.0000,16.4596,2.0202,10.0494,3.4911,0.5520,6.8700,0.7034,4.6565,4.2992,False,False,False,False,True,False
97,1158.8045,401.3151,754.8843,2.6050,0.0000,14.6131,1.8027,10.5137,3.1152,0.5946,6.8700,0.7081,4.2469,4.1716,False,False,False,False,False,True
98,1635.9080,387.0043,1246.1891,2.7146,0.0000,10.0588,1.5796,9.5522,2.7296,0.5862,6.8700,0.7034,4.8419,4.4053,False,False,False,False,False,True
99,1338.3026,420.1862,915.2331,2.8833,0.0000,9.7306,1.5748,10.4362,2.7215,0.5195,6.8700,0.6955,4.4396,4.0615,False,False,False,False,False,True
100,1356.8192,415.9402,937.5184,3.3606,0.0000,11.6296,1.6576,10.5511,2.8644,0.5565,6.8700,0.6881,4.9997,4.3844,False,False,False,False,False,True
101,1621.3482,401.5444,1218.3881,1.4158,0.0000,7.9848,1.5669,9.1211,2.7078,0.4868,6.8700,0.6945,4.2754,4.6457,False,False,False,False,False,True
102,1117.2169,392.1327,722.0834,3.0008,0.0000,15.9308,1.8195,10.5328,3.1443,0.6381,6.8700,0.6947,4.5838,4.5768,False,False,False,False,False,False
103,1254.1371,409.2088,842.5693,2.3590,0.0000,16.9527,1.9727,9.7667,3.4090,0.6191,6.8700,0.6842,4.2571,4.6730,False,False,False,False,False,False
104,1158.9788,401.3923,754.9815,2.6050,0.0000,14.6131,1.8027,10.5137,3.1152,0.5946,6.8700,0.7081,4.2469,4.1716,False,False,False,False,False,True
105,1266.6360,389.8811,873.6000,3.1549,0.0000,11.3813,1.6642,10.0957,2.8758,0.5642,6.8700,0.6815,4.5247,4.5883,False,False,False,False,False,True
106,1248.9372,386.1883,859.1738,3.5751,0.0000,13.3019,1.6711,10.3977,2.8878,0.6407,6.8700,0.6830,4.8602,4.5377,False,False,False,False,False,True
107,1175.9720,377.0439,795.7560,3.1721,0.0000,13.6588,1.6880,10.1898,2.9170,0.6581,6.8700,0.7096,4.2528,4.2286,False,False,False,False,False,True
108,1357.3005,424.6519,929.1268,3.5218,0.0000,16.5348,1.9621,10.2018,3.3907,0.5828,6.8700,0.6848,4.8942,4.6289,False,False,False,False,False,False
109,1310.8083,378.9603,928.6155,3.2326,0.0000,12.4378,1.6674,9.9903,2.8815,0.6243,6.8700,0.7088,4.6059,4.4862,False,False,False,False,False,True
110,1348.8415,430.0529,916.0841,2.7045,0.0000,12.4129,1.7494,10.4640,3.0231,0.5347,6.8700,0.7027,4.4015,4.0646,False,False,False,False,False,True
111,1896.4093,419.0372,1476.2455,1.1265,0.0000,12.9182,1.9411,9.0479,3.3543,0.5146,6.8700,0.7097,4.9889,4.4861,True,True,False,False,False,False
112,1374.9056,422.6498,949.1195,3.1364,0.0000,16.8774,1.9858,10.1310,3.4317,0.5845,6.8700,0.6947,4.6607,4.3079,False,False,False,False,False,False
113,1196.7810,428.6997,765.4791,2.6022,0.0000,16.6524,1.9793,10.2756,3.4203,0.5717,6.8700,0.7076,4.1972,4.4147,False,False,False,False,False,False
