name,designer,year,loa,lwl,beam,draft,disp,ballast,sa,typekeel,typerig,SA/DISP,DISP/LWL,COMFORT,CAPSIZE RISK,Vm/Vh,L/B,ROLL ACEL.,V  HULL,PERIOD,P/B,,,,,,,,,,,,,,,,,,,,,,,,
#950 POWER SAILER,TANTON,1965,48.5,42.7,16.3,,38570,,1118,MTR SLR,CUTTER,15.74,221,32.6,1.87,1.04,2.98,0.10963,8.76,3.6,5.06,,,,,,,,,,,,,,,,,,,,,,,,
21' MASTHEAD SLOOP,GARTSIDE,1980,21.0,17.9,7.0,3.6,4000,1800,232,WOODEN FULL KEEL,SLOOP,14.77,311,24.6,1.71,1.08,3.00,0.05450,5.67,2.8,6.01,,,,,,,,,,,,,,,,,,,,,,,,
37' MOTORSAILER,GARTSIDE,1995,37.5,33.9,12.0,5.5,26000,9200,646,"FULL KEEL, ELLIPTICAL STERN",GAFF KETCH,11.82,298,42.0,1.57,0.95,3.13,0.04544,7.80,4.6,7.54,,,,,,,,,,,,,,,,,,,,,,,,
56' CRUISING SLOOP,WHITE,1991,56.0,41.7,10.2,8.0,20000,8000,1009,,SLOOP,21.99,123,30.5,1.45,1.18,5.49,0.04360,8.65,4.2,7.46,,,,,,,,,,,,,,,,,,,,,,,,
62' CRUISING SLOOP,WHITE,2000,62.1,45.9,11.7,8.0,26370,12100,1200,,SLOOP,21.76,122,30.3,1.52,1.17,5.31,0.05529,9.08,4.1,6.80,,,,,,,,,,,,,,,,,,,,,,,,
65 FT SLOOP,PERRY,1977,64.9,52.8,18.0,8.0,72987,28000,1868,,SLOOP,17.19,221,42.6,1.67,1.05,3.61,0.06674,9.74,4.9,6.55,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTT 27,ABBOTT,1994,27.3,22.8,9.0,4.1,6000,2650,360,FIN KEEL,SLOOP,17.50,226,20.6,1.92,1.13,3.03,0.11128,6.40,2.4,4.54,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTT 33,LARSEN,1967,33.2,26.1,8.2,5.4,6057,3304,443,FIN KEEL,SLOOP,21.40,152,20.1,1.74,1.21,4.05,0.08218,6.85,2.6,5.15,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTT 36,ABBOTT,1964,36.2,29.0,10.0,6.0,10000,4475,0,FIN KEEL,SLOOP,0.00,183,23.1,1.80,0.00,3.62,0.09538,7.22,2.8,5.02,,,,,,,,,,,,,,,,,,,,,,,,
ACAJUTLA 42,BREWER,1985,41.6,35.6,12.6,6.7,28000,9200,869,"LONG FIN, SKEG",CUTTER,15.14,277,39.6,1.61,1.03,3.30,0.05297,8.00,4.4,7.03,,,,,,,,,,,,,,,,,,,,,,,,
ADELE,HOOD,1984,49.7,37.5,13.1,6.0,42000,12000,1026,,KETCH,13.65,356,51.3,1.46,0.99,3.79,0.03207,8.21,5.8,9.09,,,,,,,,,,,,,,,,,,,,,,,,
AERODYNE 38,MARTIN,1966,37.7,34.3,13.0,7.8,11250,4150,907,"FIN KEEL , BLADE RUDDER",SLOOP,29.00,124,16.2,2.24,1.32,2.90,0.29593,7.85,1.9,2.99,,,,,,,,,,,,,,,,,,,,,,,,
AGARI,VAN DE STADT,1966,39.3,36.1,13.1,6.6,14000,6240,1022,"FIN, SKEG",SLOOP,28.25,133,19.0,2.10,1.30,3.00,0.20397,8.05,2.3,3.61,,,,,,,,,,,,,,,,,,,,,,,,
ALAJUELA 38,ATKIN,1993,38.0,32.6,11.5,5.6,27000,10000,880,FULL KEEL,CUTTER,15.71,348,47.1,1.48,1.05,3.30,0.03491,7.65,5.1,8.53,,,,,,,,,,,,,,,,,,,,,,,,
ALAN PAPE 34,PAPE,1976,34.7,25.0,10.5,5.3,16535,4850,640,STEEL,    CUTTER       ,15.84,472,40.0,1.59,1.06,3.30,0.04139,6.70,4.4,7.71,,,,,,,,,,,,,,,,,,,,,,,,
ALBERG 22,ALBERG,1960,22.0,17.0,7.0,3.0,3200,1500,236,,SLOOP,17.43,291,20.0,1.84,1.15,3.14,0.08078,5.52,2.3,4.93,,,,,,,,,,,,,,,,,,,,,,,,
ALBERG 30,ALBERG,1976,30.3,21.7,8.8,4.3,9000,3300,410,FULL KEEL,SLOOP,15.21,393,31.6,1.64,1.07,3.44,0.04781,6.24,3.6,6.89,,,,,,,,,,,,,,,,,,,,,,,,
"ALBERG 35, Sloop",ALBERG,1962,34.8,24.0,9.7,5.2,12600,5300,545,,SLOOP,16.16,407,34.7,1.61,1.08,3.59,0.04473,6.56,4.0,7.29,,,,,,,,,,,,,,,,,,,,,,,,
ALBERG 37,ALBERG,1967,37.2,26.5,10.2,5.5,16800,6500,646,,SLOOP,15.82,403,39.6,1.54,1.06,3.65,0.03798,6.90,4.5,8.00,,,,,,,,,,,,,,,,,,,,,,,,
Alden 126,ALDEN,1982,126.5,100.0,27.0,10.0,380000,110000,5300,,,16.26,170,67.6,1.44,0.98,4.69,0.03813,13.40,8.2,8.95,,,,,,,,,,,,,,,,,,,,,,,,
ALDEN 38,ALDEN,1978,38.5,27.4,11.2,5.5,17656,7239,626,CB,SLOOP,14.83,383,35.6,1.66,1.04,3.44,0.05475,7.01,4.0,6.78,,,,,,,,,,,,,,,,,,,,,,,,
ALDEN 40,ALDEN,1968,39.5,28.0,10.5,5.5,18600,7800,695,,SLOOP,15.90,378,39.9,1.53,1.06,3.76,0.03786,7.09,4.6,8.06,,,,,,,,,,,,,,,,,,,,,,,,
