id,Resistance,Rv,Ri,Rr,Rincli,Comfort,LWL,BWL,Draft,Displacement,AWP,LCB,LCF,best,constraint1,constraint2,constraint3,constraint4,constraint5,valid
1,1553.1823,203.3718,294.3731,1042.4264,13.0110,0.1623,10.0298,2.3498,0.4106,3.3923,16.1670,4.5449,4.6499,-1692.8177,False,False,False,False,False,True
2,1553.1823,203.3718,294.3731,1042.4264,13.0110,0.1623,10.0298,2.3498,0.4106,3.3923,16.1670,4.5449,4.6499,-1692.8177,False,False,False,False,False,True
3,1934.9576,246.6187,283.2536,1387.7232,17.3621,0.3142,10.8094,2.0104,0.6793,5.6178,14.9991,4.9572,4.1555,-4349.0424,True,False,False,False,False,False
4,1934.9576,246.6187,283.2536,1387.7232,17.3621,0.3142,10.8094,2.0104,0.6793,5.6178,14.9991,4.9572,4.1555,-4349.0424,True,False,False,False,False,False
5,4193.3278,317.0129,267.3515,3565.2016,43.7618,0.2617,10.0967,3.3560,0.7229,8.8268,23.7833,4.9731,4.5362,-1040.6722,False,False,False,False,False,True
6,4193.3278,317.0129,267.3515,3565.2016,43.7618,0.2617,10.0967,3.3560,0.7229,8.8268,23.7833,4.9731,4.5362,-1040.6722,False,False,False,False,False,True
7,2427.6159,316.7924,282.5523,1800.3914,27.8799,0.2599,10.8294,2.9896,0.6309,7.8884,22.7000,4.2279,4.0458,-2770.3841,False,False,False,False,False,True
8,2427.6159,316.7924,282.5523,1800.3914,27.8799,0.2599,10.8294,2.9896,0.6309,7.8884,22.7000,4.2279,4.0458,-2770.3841,False,False,False,False,False,True
9,1848.3753,215.9656,267.2717,1346.5410,18.5970,0.2502,10.2328,2.1616,0.6543,4.7439,15.2832,4.2095,4.3702,-3155.6247,False,False,False,False,False,True
10,1848.3753,215.9656,267.2717,1346.5410,18.5970,0.2502,10.2328,2.1616,0.6543,4.7439,15.2832,4.2095,4.3702,-3155.6247,False,False,False,False,False,True
11,2678.7289,282.7361,279.6878,2087.7907,28.5143,0.2332,10.6480,2.9746,0.6917,6.9471,21.6934,4.9895,4.3795,-1985.2711,False,False,False,False,False,True
12,2678.7289,282.7361,279.6878,2087.7907,28.5143,0.2332,10.6480,2.9746,0.6917,6.9471,21.6934,4.9895,4.3795,-1985.2711,False,False,False,False,False,True
13,2274.0161,295.2132,290.8303,1660.0273,27.9453,0.1900,10.6846,3.3486,0.4916,6.6417,24.3636,4.2677,4.3155,-1525.9839,False,False,False,False,False,True
14,2274.0161,295.2132,290.8303,1660.0273,27.9453,0.1900,10.6846,3.3486,0.4916,6.6417,24.3636,4.2677,4.3155,-1525.9839,False,False,False,False,False,True
15,1760.7465,256.6835,286.7897,1199.9763,17.2970,0.2311,10.8764,2.5035,0.5583,5.5565,19.2627,4.2649,4.4589,-2861.2535,False,False,False,False,False,True
16,1760.7465,256.6835,286.7897,1199.9763,17.2970,0.2311,10.8764,2.5035,0.5583,5.5565,19.2627,4.2649,4.4589,-2861.2535,False,False,False,False,False,True
17,4059.6259,289.4564,270.4864,3469.6547,30.0284,0.2303,10.2627,2.9353,0.5598,6.5727,20.6829,4.5095,4.9975,-546.3741,False,False,False,False,False,True
18,4059.6259,289.4564,270.4864,3469.6547,30.0284,0.2303,10.2627,2.9353,0.5598,6.5727,20.6829,4.5095,4.9975,-546.3741,False,False,False,False,False,True
19,2469.2412,292.4644,283.2536,1867.0862,26.4370,0.2298,10.8094,2.9795,0.6793,6.9337,22.0524,4.9891,4.1555,-2126.7588,False,False,False,False,False,True
20,2469.2412,292.4644,283.2536,1867.0862,26.4370,0.2298,10.8094,2.9795,0.6793,6.9337,22.0524,4.9891,4.1555,-2126.7588,False,False,False,False,False,True
21,2099.8750,239.1453,279.6878,1561.9462,19.0958,0.3184,10.6480,2.0152,0.6917,5.6508,14.8144,4.9576,4.3795,-4268.1250,True,False,False,False,False,False
22,2099.8750,239.1453,279.6878,1561.9462,19.0958,0.3184,10.6480,2.0152,0.6917,5.6508,14.8144,4.9576,4.3795,-4268.1250,True,False,False,False,False,False
23,1644.8720,240.5994,286.7897,1102.5854,14.8975,0.2262,10.8764,2.3486,0.5583,4.9949,18.0711,4.2649,4.6479,-2879.1280,False,False,False,False,False,True
